species,term,mean,median,sd
19481-BET-ALL,(Intercept),-0.00422438395871071,-0.00408265900185386,0.0299549192463833
19481-BET-ALL,canopy_statusTRUE,0.282908721404039,0.283143726777369,0.0158290208668131
19481-BET-ALL,dbh,0.169128286798672,0.168631528914815,0.00991624375508186
19481-BET-ALL,I(dbh^2),-0.0997351438281282,-0.099818654336541,0.00410023287849124
19481-BET-ALL,annual_mean_temperature,-0.0676468553651523,-0.0681826740920777,0.0175381627001778
19481-BET-ALL,I(annual_mean_temperature^2),0.00421226414420458,0.00396194500416359,0.00607968224747733
19481-BET-ALL,annual_precipitation,0.0190949523069582,0.0184104957459378,0.0111162129905431
19481-BET-ALL,I(annual_precipitation^2),-0.00994545236387834,-0.00996301751891653,0.00608459737306096
19481-BET-ALL,canopy_statusTRUE:annual_mean_temperature,-0.0528940207525722,-0.0526682781874304,0.0150990327252498
19481-BET-ALL,canopy_statusTRUE:I(annual_mean_temperature^2),0.00845527613848597,0.0086194091035299,0.00832898058988527
19481-BET-ALL,canopy_statusTRUE:annual_precipitation,0.0300818681865724,0.02984894816458,0.0124335463245339
19481-BET-ALL,canopy_statusTRUE:I(annual_precipitation^2),-0.0182476216710294,-0.0184064297040642,0.00738188258461349
19481-BET-ALL,dbh:annual_mean_temperature,0.0314773526103357,0.0315338600007347,0.00870390012976415
19481-BET-ALL,dbh:I(annual_mean_temperature^2),-0.0103259083548928,-0.0101578413559598,0.00468529199073687
19481-BET-ALL,dbh:annual_precipitation,0.0179322236455017,0.0172773516206122,0.00773530846028741
19481-BET-ALL,dbh:I(annual_precipitation^2),-0.0205674818046568,-0.0202019117403533,0.00464436038121633
19481-BET-ALL,I(dbh^2):annual_mean_temperature,-0.00351871918910592,-0.00349049211829828,0.00388496857829115
19481-BET-ALL,I(dbh^2):I(annual_mean_temperature^2),-0.000406729750066918,-0.000518225446915842,0.00214061359822683
19481-BET-ALL,I(dbh^2):annual_precipitation,0.00231940382596871,0.00229187370031915,0.00327029703356498
19481-BET-ALL,I(dbh^2):I(annual_precipitation^2),0.0100103588010304,0.00994791019771798,0.00203597325569276
19489-BET-PAP,(Intercept),-0.0863216908998974,-0.0864588195332816,0.040750582610722
